,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
F*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,0.0026246719160104987,0.0025405274618920883,0.0038590172369436584,0.005572139303482587,0.003181949667341626,0.00481251253258472,0.0007321984257733846,0.005499929488083486
GC,0.00017497812773403323,0.0008468424872973627,0.0006431695394906097,0.0005970149253731343,0.0013017066820943013,0.00300782033286545,0.0005491488193300384,0.0016922859963333804
GD,0.0024496937882764656,0.0025405274618920883,0.0020581425263699513,0.003781094527363184,0.0023141452126120912,0.0022057349107679966,0.0020135456708768075,0.0026794528275278524
GE,0.004024496937882764,0.0031454149528187757,0.0015436068947774634,0.004577114427860697,0.0021695111368238355,0.002506516944054542,0.0018304960644334614,0.0026794528275278524
GF,0.0024496937882764656,0.0024195499637067507,0.0038590172369436584,0.005373134328358209,0.0034712178189181373,0.002506516944054542,0.002562694490206846,0.0021153574954167254
GG,0.003499562554680665,0.004718122429228163,0.0034731155132492926,0.006169154228855721,0.003181949667341626,0.005915379987968718,0.0023796448837635,0.007897334649555774
GH,0.0005249343832020997,0.0010887974836680378,0.0009004373552868536,0.0001990049751243781,0.001590974833670813,0.0028072989773410867,0.0009152480322167307,0.0019743336623889436
GI,0.0029746281714785653,0.004476167432857488,0.005016722408026756,0.0031840796019900496,0.0033265837431298816,0.0032083416883898134,0.004027091341753615,0.0025384289945000705
GK,0.005074365704286964,0.0031454149528187757,0.00398765114484178,0.004975124378109453,0.00202487706103558,0.0020052135552436332,0.002562694490206846,0.0025384289945000705
GL,0.004199475065616798,0.005443987418340189,0.006303061487007975,0.005771144278606965,0.004772924501012439,0.005614597954682173,0.003660992128866923,0.00662812015230574
GM,0.0008748906386701663,0.002056617469150738,0.0015436068947774634,0.0005970149253731343,0.0014463407578825572,0.0014036494886705434,0.0007321984257733846,0.0005640953321111268
