,bacterial1.fasta,bacterial2.fasta,bacterial3.fasta,bacterial4.fasta,mamalian1.fasta,mamalian2.fasta,mamalian3.fasta,mamalian4.fasta
HK,0.001887116143420827,0.0007098071690524074,0.0013873123975280616,0.000785700255352583,0.001426126640045636,0.0014768140198877621,0.001792435920415845,0.0012437810945273632
HL,0.0017155601303825698,0.0020111203123151546,0.0026485054861899358,0.001571400510705166,0.0027096406160867087,0.0025598109678054543,0.00197167951245743,0.0030403537866224434
HM,0.00017155601303825698,0.0009464095587365432,0.0001261193088661874,0.0,0.00042783799201369084,9.845426799251748e-05,0.0008962179602079225,0.00041459369817578774
HN,0.0013724481043060558,0.001183011948420679,0.0006305965443309371,0.00019642506383814575,0.0012835139760410724,0.0008860884119326573,0.0016131923283742606,0.000552791597567717
HO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP,0.00017155601303825698,0.0010647107535786111,0.0006305965443309371,0.0003928501276762915,0.0009982886480319453,0.002264448163827902,0.0012547051442910915,0.002211166390270868
HQ,0.000514668039114771,0.0015379155329468827,0.0012611930886618741,0.0005892751915144372,0.0011409013120365088,0.0014768140198877621,0.000716974368166338,0.0012437810945273632
HR,0.00034311202607651396,0.0017745179226310187,0.0011350737797956867,0.0003928501276762915,0.00042783799201369084,0.0019690853598503494,0.001433948736332676,0.002902155887230514
HS,0.001029336078229542,0.0018928191174730864,0.0011350737797956867,0.000785700255352583,0.0017113519680547634,0.0017721768238653146,0.0016131923283742606,0.0015201768933112217
HT,0.00034311202607651396,0.0009464095587365432,0.0007567158531971245,0.0,0.002139189960068454,0.0006891798759476223,0.00197167951245743,0.0019347705914870095
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HV,0.0006862240521530279,0.0014196143381048148,0.00037835792659856227,0.0011785503830288745,0.0019965772960638907,0.002067539627842867,0.001433948736332676,0.0020729684908789387
HW,0.00017155601303825698,0.0005915059742103396,0.0,0.0003928501276762915,0.00042783799201369084,0.0002953628039775524,0.0001792435920415845,0.00041459369817578774
HY,0.00034311202607651396,0.0008281083638944754,0.0007567158531971245,0.0009821253191907287,0.000713063320022818,0.0005907256079551048,0.00197167951245743,0.0009673852957435047
H*,0.0,0.0003549035845262037,0.0001261193088661874,0.0,0.000713063320022818,0.0004922713399625873,0.0001792435920415845,0.0002763957987838585
IA,0.0051466803911477095,0.0031941322607358332,0.0052970109723798715,0.0035356511490866236,0.003280091272104963,0.003741262183715664,0.00394335902491486,0.002902155887230514
IC,0.0008577800651912849,0.0015379155329468827,0.0011350737797956867,0.0005892751915144372,0.001426126640045636,0.0013783597518952446,0.0030471410647069366,0.001658374792703151
ID,0.0034311202607651397,0.0020111203123151546,0.005549249590112246,0.005303476723629935,0.0019965772960638907,0.0013783597518952446,0.006452769313497042,0.0017965726920950802
IE,0.0053182364041859664,0.0029575298710516978,0.0032791020305208726,0.004910626595953644,0.0022818026240730175,0.0013783597518952446,0.0037641154328732747,0.0012437810945273632
IF,0.002916452221650369,0.0033124334555779014,0.0022701475595913734,0.0058927519151443725,0.0017113519680547634,0.002461356699812937,0.0030471410647069366,0.0015201768933112217
IG,0.003088008234688626,0.0030758310658937655,0.00340522133938706,0.003142801021410332,0.003280091272104963,0.002461356699812937,0.003226384656748521,0.002902155887230514
IH,0.00034311202607651396,0.002484325091683426,0.0013873123975280616,0.0003928501276762915,0.001426126640045636,0.0011814512159102097,0.003226384656748521,0.000552791597567717
II,0.006004460456338995,0.005560156157577192,0.004035817883717997,0.005303476723629935,0.00356531660011409,0.0034458993797381117,0.01111310270657824,0.001658374792703151
IK,0.007205352547606794,0.003785638234946173,0.006432084752175558,0.00648202710665881,0.004278379920136908,0.002264448163827902,0.006094282129413873,0.0008291873963515755
IL,0.0066906845084920225,0.0069797704956820064,0.004161937192584185,0.008249852681202121,0.005419281232173417,0.004331987791670769,0.009499910378203979,0.0035931453841901604
IM,0.001200892091267799,0.001301313143262747,0.0016395510152604363,0.0013749754468670202,0.0015687393040501997,0.0013783597518952446,0.001792435920415845,0.0009673852957435047
IN,0.00394578829987991,0.0030758310658937655,0.005044772354647497,0.004517776468277352,0.00356531660011409,0.0017721768238653146,0.00788671804982972,0.0023493642896627973
IO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IP,0.001887116143420827,0.004258843014314445,0.0026485054861899358,0.0027499508937340405,0.0015687393040501997,0.0030520823077680418,0.00358487184083169,0.0020729684908789387
IQ,0.001887116143420827,0.002720927481367562,0.0025223861773237483,0.0019642506383814574,0.002567027952082145,0.0015752682878802796,0.002509410288582183,0.0017965726920950802
IR,0.002401784182535598,0.005560156157577192,0.0022701475595913734,0.0037320762129247694,0.0015687393040501997,0.0028551737717830068,0.002867897472665352,0.002211166390270868
IS,0.005832904443300738,0.00508695137820892,0.0037835792659856224,0.00648202710665881,0.005276668568168853,0.003938170719700699,0.01075461552249507,0.0046987285793255945
IT,0.004803568365071196,0.00449544540399858,0.005170891663513684,0.005107051659791789,0.003993154592127781,0.002461356699812937,0.00555655135328912,0.0031785516860143724
IU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.0027448962086121117,0.003667337040104105,0.004161937192584185,0.004517776468277352,0.004563605248146035,0.0021659938958353843,0.005915038537372289,0.0030403537866224434
